player,team,position,age,minutes,games,goals,assists,shots,shots_on_target,passes_completed,passes,passes_pct,tackles,interceptions,clearances,touches,dispossessed,xg,xg_assist
Aaron Mooy,Australia,MF,,4,4,0,0,,0,170.0,217.0,78.3,9.0,3,9.0,255.0,4.0,0.0,
Aaron Ramsey,Wales,MF,,3,3,0,0,,0,88.0,112.0,78.6,2.0,0,2.0,147.0,4.0,0.0,
Abdelhamid Sabiri,Morocco,MF,,2,5,0,1,,0,45.0,58.0,77.6,3.0,5,3.0,86.0,3.0,0.1,
Abdelkarim Hassan,Qatar,DF,,3,3,0,0,,0,122.0,161.0,75.8,7.0,1,5.0,193.0,0.0,0.3,
Abderrazak Hamdallah,Morocco,FW,,0,4,0,0,,1,8.0,15.0,53.3,0.0,0,2.0,28.0,3.0,0.4,
Abdessamad Ezzalzouli,Morocco,FW,,1,3,0,0,,0,10.0,13.0,76.9,3.0,0,3.0,40.0,1.0,0.1,
Abdou Diallo,Senegal,DF,,3,4,0,0,,0,139.0,186.0,74.7,2.0,1,10.0,210.0,2.0,0.0,
Abdul Fatawu Issahaku,Ghana,FW,,0,1,0,0,,0,1.0,1.0,100.0,0.0,0,0.0,2.0,0.0,0.0,
Abdulaziz Hatem,Qatar,MF,,2,3,0,0,,1,72.0,91.0,79.1,1.0,1,0.0,98.0,1.0,0.0,
Abdulelah Al-Amri,Saudi Arabia,DF,,2,3,0,0,,0,74.0,104.0,71.2,1.0,4,10.0,129.0,0.0,0.1,
Abdulellah Al-Malki,Saudi Arabia,MF,,1,2,0,0,,0,66.0,84.0,78.6,3.0,2,4.0,105.0,0.0,0.1,
Abdullah Madu,Saudi Arabia,DF,,0,1,0,0,,0,5.0,13.0,38.5,1.0,0,2.0,19.0,0.0,0.0,
Abdulrahman Al-Aboud,Saudi Arabia,MF,,0,2,0,0,,0,8.0,13.0,61.5,3.0,0,0.0,22.0,0.0,0.1,
Abolfazl Jalali,IR Iran,DF,,0,1,0,0,,0,20.0,29.0,69.0,0.0,0,1.0,34.0,1.0,0.0,
Achraf Dari,Morocco,DF,,2,3,1,0,,1,99.0,111.0,89.2,1.0,5,9.0,139.0,1.0,0.6,
Achraf Hakimi,Morocco,DF,,7,7,0,1,,1,312.0,382.0,81.7,26.0,9,12.0,478.0,8.0,0.1,
Adrien Rabiot,France,MF,,5,6,1,1,,4,237.0,284.0,83.5,12.0,10,6.0,350.0,7.0,1.1,
Agustín Canobbio,Uruguay,MF,,0,1,0,0,,0,5.0,7.0,71.4,1.0,0,0.0,11.0,0.0,0.0,
Ahmad Nourollahi,IR Iran,MF,,2,3,0,0,,1,35.0,54.0,64.8,4.0,6,8.0,85.0,0.0,0.1,
Ahmed Alaaeldin,Qatar,FW,,0,1,0,0,,0,0.0,2.0,0.0,0.0,0,0.0,2.0,0.0,0.0,
Aimen Dahmen,Tunisia,GK,,3,3,0,0,,0,48.0,77.0,62.3,0.0,0,2.0,82.0,0.0,0.0,
Ajdin Hrustic,Australia,MF,,0,3,0,0,,0,17.0,21.0,81.0,2.0,1,1.0,32.0,1.0,0.0,
Akram Afif,Qatar,FW,,3,3,0,0,,0,139.0,165.0,84.2,0.0,0,0.0,181.0,5.0,0.0,
Alan Franco,Ecuador,MF,,0,2,0,0,,0,10.0,11.0,90.9,1.0,2,1.0,16.0,0.0,0.0,
Alejandro Balde,Spain,DF,,1,4,0,0,,0,112.0,123.0,91.1,6.0,0,2.0,135.0,3.0,0.0,
Aleksandar Mitrović,Serbia,FW,,2,3,2,0,,3,54.0,69.0,78.3,1.0,0,1.0,95.0,3.0,1.6,
Alex Sandro,Brazil,DF,,2,3,0,0,,0,150.0,169.0,88.8,8.0,3,9.0,193.0,0.0,0.0,
Alex Telles,Brazil,DF,,0,2,0,0,,0,33.0,42.0,78.6,2.0,0,1.0,46.0,0.0,0.0,
Alexander Bah,Denmark,DF,,0,2,0,0,,0,37.0,53.0,69.8,4.0,2,0.0,65.0,0.0,0.1,
Alexander Djiku,Ghana,DF,,1,2,0,0,,0,22.0,28.0,78.6,1.0,2,9.0,43.0,0.0,0.0,
Alexis Mac Allister,Argentina,MF,,6,6,1,1,,4,234.0,265.0,88.3,9.0,3,6.0,332.0,8.0,0.7,
Alexis Vega,Mexico,FW,,2,3,0,0,,2,40.0,56.0,71.4,0.0,1,2.0,85.0,8.0,0.8,
Ali Abdi,Tunisia,DF,,2,3,0,0,,0,72.0,116.0,62.1,8.0,4,13.0,152.0,4.0,0.0,
Ali Al Hassan,Saudi Arabia,MF,,0,1,0,0,,0,4.0,7.0,57.1,2.0,0,1.0,15.0,1.0,0.1,
Ali Al-Bulaihi,Saudi Arabia,DF,,2,3,0,0,,0,78.0,97.0,80.4,4.0,3,1.0,110.0,0.0,0.0,
Ali Assadalla,Qatar,MF,,0,1,0,0,,0,21.0,23.0,91.3,0.0,0,0.0,24.0,0.0,0.0,
Ali Gholizadeh,IR Iran,MF,,2,3,0,1,,0,46.0,72.0,63.9,0.0,3,2.0,86.0,2.0,0.0,
Ali Karimi,IR Iran,MF,,1,3,0,0,,0,34.0,45.0,75.6,3.0,3,1.0,55.0,0.0,0.0,
Ali Maâloul,Tunisia,DF,,1,1,0,0,,0,39.0,63.0,61.9,1.0,0,4.0,70.0,1.0,0.0,
Alidu Seidu,Ghana,DF,,1,2,0,0,,0,59.0,78.0,75.6,6.0,0,3.0,98.0,0.0,0.0,
Alireza Beiranvand,IR Iran,GK,,1,2,0,0,,0,20.0,31.0,64.5,0.0,0,2.0,34.0,0.0,0.0,
Alireza Jahanbakhsh,IR Iran,MF,,0,2,0,0,,0,11.0,17.0,64.7,1.0,1,0.0,27.0,0.0,0.2,
Alisson,Brazil,GK,,4,4,0,0,,0,80.0,93.0,86.0,0.0,0,2.0,101.0,0.0,0.0,
Alistair Johnston,Canada,DF,,3,3,0,0,,1,147.0,186.0,79.0,5.0,2,4.0,209.0,1.0,0.8,
Almoez Ali,Qatar,FW,,2,3,0,0,,1,33.0,45.0,73.3,1.0,1,1.0,66.0,3.0,0.4,
Alphonso Davies,Canada,MF,,3,3,1,0,,1,82.0,114.0,71.9,2.0,3,1.0,156.0,7.0,1.1,
Amadou Onana,Belgium,MF,,1,2,0,0,,0,58.0,64.0,90.6,4.0,0,0.0,74.0,1.0,0.5,
Anass Zaroury,Morocco,FW,,0,1,0,0,,0,8.0,13.0,61.5,0.0,0,0.0,15.0,0.0,0.0,
Andre-Frank Zambo Anguissa,Cameroon,MF,,2,3,0,1,,1,113.0,130.0,86.9,4.0,5,2.0,159.0,5.0,0.1,
Andreas Christensen,Denmark,DF,,3,3,1,0,,1,237.0,251.0,94.4,4.0,4,9.0,280.0,1.0,0.4,
Andreas Cornelius,Denmark,FW,,1,3,0,0,,2,21.0,34.0,61.8,0.0,0,1.0,48.0,1.0,1.0,
Andreas Skov Olsen,Denmark,FW,,1,2,0,0,,1,43.0,63.0,68.3,0.0,1,0.0,76.0,4.0,0.2,
Andrej Kramarić,Croatia,FW,,5,7,2,0,,4,153.0,176.0,86.9,3.0,0,0.0,215.0,6.0,1.6,
Andries Noppert,Netherlands,GK,,5,5,0,0,,0,157.0,192.0,81.8,0.0,0,4.0,205.0,0.0,0.0,
Andrija Živković,Serbia,DF,,2,3,0,2,,0,71.0,96.0,74.0,5.0,3,3.0,118.0,1.0,0.1,
André Ayew,Ghana,MF,,2,3,1,0,,1,30.0,37.0,81.1,4.0,0,3.0,61.0,4.0,1.1,
André Onana,Cameroon,GK,,0,1,0,0,,0,45.0,59.0,76.3,0.0,0,0.0,60.0,0.0,0.0,
André Silva,Portugal,FW,,0,1,0,0,,0,9.0,11.0,81.8,0.0,0,0.0,14.0,1.0,0.0,
Andrés Guardado,Mexico,MF,,0,1,0,0,,0,11.0,16.0,68.8,4.0,0,1.0,22.0,1.0,0.0,
Anis Ben Slimane,Tunisia,MF,,1,2,0,0,,1,29.0,46.0,63.0,3.0,1,1.0,72.0,11.0,0.1,
Ansu Fati,Spain,FW,,0,2,0,0,,0,25.0,29.0,86.2,1.0,0,0.0,33.0,0.0,0.0,
Ante Budimir,Croatia,FW,,0,2,0,0,,0,2.0,5.0,40.0,1.0,0,1.0,12.0,1.0,0.2,
Anthony Contreras,Costa Rica,FW,,1,3,0,0,,0,15.0,26.0,57.7,5.0,1,0.0,38.0,7.0,0.0,
Antoine Griezmann,France,MF,,6,7,0,3,,2,258.0,329.0,78.4,14.0,8,7.0,381.0,8.0,0.7,
Antoine Semenyo,Ghana,FW,,0,2,0,0,,0,1.0,2.0,50.0,0.0,0,0.0,6.0,1.0,0.0,
Antonee Robinson,United States,DF,,4,4,0,0,,0,173.0,241.0,71.8,5.0,7,8.0,288.0,3.0,0.0,
Antonio Rüdiger,Germany,DF,,3,3,0,0,,1,229.0,252.0,90.9,2.0,0,5.0,273.0,0.0,0.8,
Antony,Brazil,FW,,1,4,0,0,,2,86.0,109.0,78.9,3.0,1,1.0,145.0,6.0,0.2,
António Silva,Portugal,DF,,1,1,0,0,,0,60.0,62.0,96.8,1.0,1,1.0,67.0,0.0,0.0,
Ao Tanaka,Japan,MF,,1,3,1,0,,1,48.0,69.0,69.6,3.0,3,2.0,84.0,1.0,1.0,
Ardon Jasari,Switzerland,FW,,0,1,0,0,,0,5.0,6.0,83.3,0.0,0,0.0,8.0,0.0,0.0,
Arkadiusz Milik,Poland,FW,,1,3,0,0,,0,19.0,29.0,65.5,0.0,0,0.0,39.0,1.0,0.2,
Artur Jędrzejczyk,Poland,DF,,0,1,0,0,,0,3.0,4.0,75.0,0.0,0,1.0,5.0,0.0,0.0,
Asiri Haitham,Saudi Arabia,FW,,0,1,0,0,,0,1.0,2.0,50.0,0.0,0,1.0,5.0,0.0,0.0,
Assim Madibo,Qatar,MF,,1,2,0,0,,0,58.0,70.0,82.9,6.0,2,0.0,85.0,2.0,0.0,
Atiba Hutchinson,Canada,MF,,1,3,0,0,,0,100.0,112.0,89.3,4.0,1,3.0,131.0,2.0,0.1,
Aurélien Tchouaméni,France,MF,,6,7,1,0,,2,426.0,474.0,89.9,11.0,14,6.0,533.0,0.0,0.3,
Awer Mabil,Australia,MF,,0,2,0,0,,0,10.0,14.0,71.4,0.0,1,0.0,18.0,0.0,0.0,
Axel Disasi,France,DF,,1,3,0,0,,0,61.0,78.0,78.2,3.0,3,4.0,90.0,1.0,0.1,
Axel Witsel,Belgium,MF,,3,3,0,0,,0,169.0,177.0,95.5,4.0,4,6.0,200.0,3.0,0.0,
Ayase Ueda,Japan,FW,,0,1,0,0,,0,7.0,12.0,58.3,0.0,0,2.0,23.0,2.0,0.0,
Aymeric Laporte,Spain,DF,,3,3,0,0,,0,413.0,438.0,94.3,2.0,3,7.0,456.0,0.0,0.0,
Aziz Behich,Australia,DF,,4,4,0,0,,0,152.0,203.0,74.9,8.0,3,12.0,249.0,5.0,0.1,
Azzedine Ounahi,Morocco,MF,,6,7,0,0,,1,216.0,265.0,81.5,9.0,7,2.0,328.0,7.0,0.3,
Aïssa Laïdouni,Tunisia,MF,,2,3,0,1,,0,99.0,123.0,80.5,3.0,4,6.0,156.0,3.0,0.1,
Baba Rahman,Ghana,DF,,2,3,0,0,,0,66.0,100.0,66.0,5.0,1,3.0,121.0,0.0,0.0,
Badr Banoun,Morocco,DF,,0,3,0,0,,0,21.0,22.0,95.5,0.0,1,3.0,28.0,1.0,0.0,
Bailey Wright,Australia,DF,,0,1,0,0,,0,1.0,3.0,33.3,0.0,0,2.0,5.0,0.0,0.0,
Bamba Dieng,Senegal,FW,,1,4,1,0,,1,9.0,16.0,56.3,2.0,0,0.0,32.0,4.0,0.5,
Bartosz Bereszyński,Poland,DF,,3,4,0,0,,0,122.0,156.0,78.2,6.0,2,17.0,197.0,3.0,0.0,
Bassam Al-Rawi,Qatar,DF,,1,1,0,0,,0,47.0,57.0,82.5,0.0,0,7.0,68.0,1.0,0.0,
Ben Davies,Wales,DF,,2,3,0,0,,2,122.0,161.0,75.8,4.0,1,8.0,184.0,0.0,0.3,
Benjamin Pavard,France,DF,,1,1,0,0,,0,82.0,90.0,91.1,0.0,1,0.0,94.0,0.0,0.0,
Bernardo Silva,Portugal,MF,,4,5,0,0,,0,256.0,292.0,87.7,2.0,2,0.0,309.0,4.0,0.2,
Bilal El Khannous,Morocco,MF,,0,1,0,0,,0,20.0,24.0,83.3,0.0,0,2.0,29.0,0.0,0.0,
Borna Barišić,Croatia,DF,,1,1,0,0,,0,50.0,69.0,72.5,1.0,0,4.0,81.0,0.0,0.0,
Borna Sosa,Croatia,DF,,4,5,0,0,,0,220.0,278.0,79.1,14.0,2,18.0,333.0,3.0,0.1,
Boualem Khoukhi,Qatar,DF,,3,3,0,0,,0,169.0,197.0,85.8,2.0,3,18.0,232.0,1.0,0.0,
Boulaye Dia,Senegal,FW,,3,4,1,0,,3,39.0,53.0,73.6,1.0,1,3.0,81.0,8.0,0.7,
Brandon Aguilera,Costa Rica,MF,,1,3,0,0,,0,27.0,38.0,71.1,2.0,1,0.0,44.0,3.0,0.0,
Breel Embolo,Switzerland,FW,,3,4,2,0,,3,46.0,62.0,74.2,1.0,0,1.0,92.0,10.0,2.3,
Brenden Aaronson,United States,MF,,1,4,0,0,,0,41.0,50.0,82.0,3.0,1,0.0,78.0,4.0,0.1,
Brennan Johnson,Wales,FW,,1,3,0,0,,1,10.0,17.0,58.8,0.0,0,1.0,33.0,2.0,0.2,
Bruno Fernandes,Portugal,FW,,4,4,2,3,,2,188.0,233.0,80.7,4.0,2,4.0,266.0,4.0,1.1,
Bruno Guimarães,Brazil,MF,,0,2,0,0,,2,43.0,54.0,79.6,0.0,0,0.0,67.0,2.0,0.7,
Bruno Petković,Croatia,FW,,2,6,1,0,,1,40.0,75.0,53.3,6.0,0,0.0,101.0,10.0,0.1,
Bryan Mbeumo,Cameroon,FW,,2,3,0,0,,2,49.0,85.0,57.6,0.0,1,2.0,106.0,1.0,0.2,
Bryan Oviedo,Costa Rica,DF,,2,3,0,0,,0,67.0,89.0,75.3,6.0,3,7.0,112.0,0.0,0.0,
Bryan Ruiz,Costa Rica,MF,,0,1,0,0,,0,8.0,12.0,66.7,1.0,0,0.0,14.0,0.0,0.0,
Bukayo Saka,England,FW,,3,4,3,0,,5,84.0,108.0,77.8,7.0,2,2.0,147.0,3.0,0.6,
Callum Wilson,England,FW,,0,2,0,1,,0,9.0,10.0,90.0,0.0,0,0.0,16.0,2.0,0.0,
Cameron Carter-Vickers,United States,DF,,1,1,0,0,,0,50.0,58.0,86.2,0.0,0,4.0,64.0,0.0,0.0,
Carlos Gruezo,Ecuador,MF,,0,1,0,0,,0,15.0,15.0,100.0,2.0,0,0.0,19.0,0.0,0.0,
Carlos Martínez,Costa Rica,DF,,0,1,0,0,,0,10.0,15.0,66.7,1.0,1,1.0,20.0,1.0,0.0,
Carlos Soler,Spain,MF,,1,2,1,0,,1,78.0,83.0,94.0,0.0,0,0.0,88.0,1.0,0.5,
Casemiro,Brazil,MF,,4,4,1,0,,3,208.0,251.0,82.9,11.0,7,5.0,302.0,4.0,0.4,
Celso Borges,Costa Rica,MF,,2,3,0,0,,0,98.0,120.0,81.7,5.0,4,7.0,143.0,0.0,0.0,
Charles De Ketelaere,Belgium,FW,,0,1,0,0,,0,3.0,4.0,75.0,0.0,0,0.0,6.0,1.0,0.0,
Charly Rodríguez,Mexico,MF,,0,2,0,0,,0,21.0,30.0,70.0,0.0,0,0.0,36.0,0.0,0.0,
Cheikhou Kouyaté,Senegal,MF,,0,1,0,0,,0,19.0,23.0,82.6,0.0,2,4.0,34.0,0.0,0.0,
Cho Guesung,Korea Republic,FW,,3,4,2,0,,5,40.0,63.0,63.5,0.0,0,3.0,88.0,5.0,1.1,
Cho Yumin,Korea Republic,FW,,0,1,0,0,,0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,
Chris Mepham,Wales,DF,,3,3,0,0,,0,141.0,172.0,82.0,8.0,1,16.0,199.0,0.0,0.0,
Christian Bassogog,Cameroon,MF,,0,1,0,0,,0,5.0,9.0,55.6,0.0,1,0.0,13.0,0.0,0.0,
Christian Eriksen,Denmark,MF,,3,3,0,0,,1,188.0,230.0,81.7,1.0,0,1.0,253.0,3.0,0.2,
Christian Fassnacht,Switzerland,FW,,0,1,0,0,,1,7.0,10.0,70.0,0.0,0,1.0,12.0,0.0,0.2,
Christian Nørgaard,Denmark,MF,,0,1,0,0,,0,14.0,15.0,93.3,0.0,0,0.0,15.0,0.0,0.0,
Christian Pulisic,United States,FW,,3,4,1,2,,5,83.0,141.0,58.9,2.0,0,1.0,187.0,10.0,1.1,
Christopher Wooh,Cameroon,DF,,1,1,0,0,,0,25.0,31.0,80.6,1.0,1,6.0,45.0,2.0,0.0,
Cody Gakpo,Netherlands,FW,,5,5,3,0,,3,93.0,148.0,62.8,8.0,3,6.0,205.0,9.0,0.3,
Collins Fai,Cameroon,DF,,3,3,0,0,,0,99.0,146.0,67.8,5.0,4,7.0,169.0,0.0,0.0,
Connor Roberts,Wales,DF,,2,3,0,0,,0,92.0,118.0,78.0,3.0,1,7.0,138.0,0.0,0.0,
Craig Goodwin,Australia,MF,,2,4,1,1,,1,58.0,95.0,61.1,4.0,0,3.0,118.0,3.0,0.3,
Cristian Romero,Argentina,DF,,6,7,0,0,,0,337.0,375.0,89.9,5.0,4,26.0,428.0,1.0,0.0,
Cristiano Ronaldo,Portugal,FW,,3,5,1,0,,2,68.0,90.0,75.6,0.0,0,1.0,116.0,5.0,1.6,
Cyle Larin,Canada,FW,,1,3,0,0,,1,21.0,29.0,72.4,0.0,0,2.0,44.0,2.0,0.2,
César Azpilicueta,Spain,DF,,1,2,0,1,,0,171.0,181.0,94.5,1.0,1,0.0,185.0,1.0,0.0,
César Montes,Mexico,DF,,3,3,0,1,,0,159.0,197.0,80.7,6.0,2,11.0,222.0,0.0,0.2,
Daichi Kamada,Japan,FW,,3,4,0,0,,1,83.0,104.0,79.8,7.0,0,3.0,139.0,7.0,0.6,
Daizen Maeda,Japan,FW,,2,3,1,0,,1,8.0,17.0,47.1,3.0,3,0.0,31.0,0.0,0.5,
Daley Blind,Netherlands,DF,,4,5,1,1,,2,252.0,300.0,84.0,14.0,5,4.0,339.0,1.0,0.4,
Damian Szymański,Poland,MF,,0,1,0,0,,0,8.0,8.0,100.0,0.0,1,0.0,9.0,0.0,0.0,
Dani Alves,Brazil,DF,,1,2,0,0,,0,83.0,97.0,85.6,5.0,2,2.0,113.0,2.0,0.2,
Dani Carvajal,Spain,DF,,1,2,0,0,,0,121.0,135.0,89.6,1.0,2,1.0,137.0,0.0,0.0,
Dani Olmo,Spain,FW,,4,4,1,1,,6,162.0,198.0,81.8,5.0,1,4.0,257.0,7.0,1.4,
Daniel Amartey,Ghana,DF,,2,3,0,0,,0,128.0,141.0,90.8,6.0,3,12.0,172.0,1.0,0.2,
Daniel Chacón,Costa Rica,MF,,0,1,0,0,,0,1.0,1.0,100.0,0.0,0,1.0,2.0,0.0,0.0,
Daniel James,Wales,FW,,1,3,0,0,,0,24.0,36.0,66.7,1.0,0,1.0,49.0,1.0,0.0,
Daniel Kyereh,Ghana,MF,,0,3,0,0,,0,18.0,23.0,78.3,2.0,0,4.0,31.0,2.0,0.0,
Danilo,Brazil,DF,,3,3,0,0,,0,230.0,269.0,85.5,5.0,3,5.0,289.0,1.0,0.0,
Danilo Pereira,Portugal,DF,,1,1,0,0,,0,68.0,78.0,87.2,2.0,3,3.0,87.0,1.0,0.0,
Danny Ward,Wales,GK,,1,2,0,0,,0,24.0,39.0,61.5,0.0,0,0.0,42.0,0.0,0.0,
Darko Lazović,Serbia,DF,,0,1,0,0,,0,7.0,12.0,58.3,0.0,0,0.0,14.0,0.0,0.0,
Darwin Núñez,Uruguay,FW,,2,3,0,0,,1,35.0,56.0,62.5,3.0,0,2.0,85.0,6.0,0.4,
David Raum,Germany,DF,,2,3,0,1,,0,153.0,195.0,78.5,6.0,7,2.0,229.0,3.0,0.0,
David Wotherspoon,Canada,MF,,0,1,0,0,,0,4.0,7.0,57.1,0.0,0,0.0,9.0,0.0,0.0,
Davy Klaassen,Netherlands,MF,,2,4,1,2,,1,59.0,77.0,76.6,3.0,1,2.0,96.0,3.0,0.2,
Dayot Upamecano,France,DF,,5,5,0,0,,0,314.0,351.0,89.5,11.0,6,13.0,393.0,1.0,0.0,
DeAndre Yedlin,United States,DF,,0,2,0,0,,0,19.0,28.0,67.9,2.0,0,2.0,32.0,0.0,0.0,
Declan Rice,England,MF,,4,5,0,0,,0,300.0,322.0,93.2,6.0,11,5.0,362.0,2.0,0.0,
Dejan Lovren,Croatia,DF,,6,6,0,1,,0,405.0,460.0,88.0,7.0,6,29.0,515.0,0.0,0.3,
Denis Odoi,Ghana,DF,,0,1,0,0,,0,2.0,2.0,100.0,1.0,0,2.0,7.0,0.0,0.0,
Denis Zakaria,Switzerland,MF,,0,2,0,0,,0,20.0,23.0,87.0,0.0,3,1.0,32.0,1.0,0.0,
Denzel Dumfries,Netherlands,DF,,5,5,1,2,,1,149.0,217.0,68.7,8.0,7,6.0,274.0,7.0,0.4,
Devis Epassy,Cameroon,GK,,2,2,0,0,,0,57.0,83.0,68.7,0.0,0,2.0,93.0,0.0,0.0,
Diego Godín,Uruguay,DF,,1,2,0,0,,0,87.0,103.0,84.5,0.0,1,9.0,116.0,0.0,0.1,
Diogo Costa,Portugal,GK,,5,5,0,0,,0,113.0,160.0,70.6,1.0,0,4.0,170.0,1.0,0.0,
Diogo Dalot,Portugal,DF,,2,3,0,2,,1,112.0,147.0,76.2,8.0,2,1.0,172.0,1.0,0.0,
